source,target
in4,m18
in5,m18
in16,m19
in13,m19
in10,m20
in4,m20
in10,m21
m18,m21
m19,m22
m21,m22
in8,m23
m19,m23
m21,m24
m21,m24
m19,m25
in9,m25
m19,m26
m25,m26
m24,m27
m25,m27
m23,m28
m27,m28
in16,m29
in17,m29
in16,m30
in14,m30
m30,m31
m26,m31
m21,m32
m18,m32
m25,m33
m30,m33
m32,m34
m19,m34
m30,m35
m21,m35
m26,m36
m26,m36
m31,m37
m23,m37
m27,m38
m33,m38
m23,m39
m32,m39
m36,m40
m37,m40
m37,m41
m32,m41
m35,m42
m31,m42
m26,m43
m29,m43
m32,m44
m33,m44
m39,m45
m29,m45
m37,m46
m33,m46
m33,m47
m44,m47
m37,m48
m31,m48
m41,m49
m46,m49
m33,m50
m40,m50
m47,m51
m41,m51
m46,m52
m42,m52
m40,m53
m46,m53
m43,m54
m49,m54
m39,m55
m44,m55
m53,m56
m40,m56
m44,m57
m49,m57
m50,m58
m49,m58
m50,m59
m51,m59
m52,m60
m47,m60
m49,m61
m55,m61
m46,m62
m58,m62
m46,m63
m50,m63
m53,m64
m54,m64
m56,m65
m53,m65
m63,m66
m59,m66
m62,m67
m60,m67
m56,m68
m54,m68
m54,m69
m67,m69
m57,m70
m61,m70
m60,m71
m66,m71
m65,m72
m64,m72
m65,m73
m67,m73
m58,m74
m66,m74
m63,m75
m69,m75
m63,m76
m69,m76
m61,m77
m75,m77
m66,m78
m72,m78
m70,m79
m73,m79
m73,m80
m76,m80
m78,m81
m69,m81
m65,m82
m81,m82
m68,m83
m72,m83
m72,m84
m70,m84
m83,m85
m78,m85
m85,m86
m69,m86
m70,m87
m72,m87
m83,m88
m84,m88
m20,o89
m22,o90
m28,o91
m34,o92
m38,o93
m45,o94
m48,o95
m71,o96
m74,o97
m77,o98
m79,o99
m80,o100
m82,o101
m86,o102
m87,o103
m88,o104
