source,target
in15,m24
in17,m24
m24,m25
in13,m25
in21,m26
in23,m26
m26,m27
in19,m27
m27,m28
m25,m28
in11,m30
in29,m30
in31,m32
m28,m32
m30,m33
m32,m33
m33,o35
in39,m46
in41,m46
m46,m47
in37,m47
in45,m48
in11,m48
m48,m49
in43,m49
m49,m50
m47,m50
in21,m51
in29,m51
in31,m52
m50,m52
m51,m53
m52,m53
m53,o55
in59,m64
in61,m64
m64,m65
in57,m65
in41,m66
in63,m66
m66,m67
in11,m67
m67,m68
m65,m68
in17,m69
in29,m69
in31,m70
m68,m70
m69,m71
m70,m71
m71,o73
in77,m82
in79,m82
m82,m83
in75,m83
in81,m84
in17,m84
m84,m85
in21,m85
m85,m86
m83,m86
in41,m87
in29,m87
in31,m88
m86,m88
m87,m89
m88,m89
m89,o91
in11,m98
in57,m98
m98,m99
in93,m99
in37,m100
in97,m100
m100,m101
in95,m101
m101,m102
m99,m102
in13,m103
in29,m103
in31,m104
m102,m104
m103,m105
m104,m105
m105,o107
in21,m114
in75,m114
m114,m115
in109,m115
in113,m116
in13,m116
m116,m117
in111,m117
m117,m118
m115,m118
in37,m119
in29,m119
in31,m120
m118,m120
m119,m121
m120,m121
m121,o123
in17,m130
in127,m130
m130,m131
in125,m131
in75,m132
in129,m132
m132,m133
in13,m133
m133,m134
m131,m134
in57,m135
in29,m135
in31,m136
m134,m136
m135,m137
m136,m137
m137,o139
in41,m146
in143,m146
m146,m147
in141,m147
in145,m148
in57,m148
m148,m149
in37,m149
m149,m150
m147,m150
in75,m151
in29,m151
in31,m152
m150,m152
m151,m153
m152,m153
m153,o155
