source,target
in12,m25
in24,m25
in12,m26
in20,m26
in3,m27
in10,m27
in16,m28
in21,m28
in5,m29
m28,m29
m28,m30
in21,m30
in21,m31
m28,m31
m31,m32
in21,m32
in20,m33
in10,m33
m30,m34
m26,m34
in24,m35
in24,m35
m31,m36
m27,m36
in13,m37
m27,m37
in18,m38
in23,m38
m30,m39
in21,m39
m39,m40
m39,m40
m25,m41
m34,m41
in21,m42
m27,m42
in22,m43
m30,m43
m41,m44
m36,m44
m30,m45
m27,m45
in24,m46
in22,m46
m25,m47
m44,m47
m30,m48
m34,m48
m29,m49
m47,m49
m47,m50
m36,m50
m44,m51
m45,m51
m32,m52
m43,m52
m32,m53
m42,m53
m50,m54
m49,m54
m50,m55
m31,m55
m34,m56
m35,m56
m40,m57
m50,m57
m50,m58
m43,m58
m44,m59
m36,m59
m55,m60
m45,m60
m60,m61
m46,m61
m47,m62
m40,m62
m41,m63
m49,m63
m41,m64
m42,m64
m64,m65
m60,m65
m65,m66
m46,m66
m49,m67
m59,m67
m60,m68
m57,m68
m65,m69
m59,m69
m67,m70
m66,m70
m47,m71
m54,m71
m55,m72
m64,m72
m68,m73
m63,m73
m55,m74
m70,m74
m51,m75
m72,m75
m66,m76
m72,m76
m58,m77
m56,m77
m55,m78
m60,m78
m59,m79
m60,m79
m71,m80
m77,m80
m63,m81
m77,m81
m70,m82
m76,m82
m70,m83
m61,m83
m75,m84
m65,m84
m61,m85
m71,m85
m83,m86
m65,m86
m33,o87
m37,o88
m38,o89
m48,o90
m52,o91
m53,o92
m62,o93
m69,o94
m73,o95
m74,o96
m78,o97
m79,o98
m80,o99
m81,o100
m82,o101
m84,o102
m85,o103
m86,o104
