source,target
in17,m30
in14,m30
in23,m31
in14,m31
in26,m32
in28,m32
in21,m33
in22,m33
in9,m34
in17,m34
in7,m35
in9,m35
in15,m36
in11,m36
in17,m37
m34,m37
m34,m38
in10,m38
m38,m39
in11,m39
m32,m40
in12,m40
in12,m41
m30,m41
m38,m42
in24,m42
m37,m43
in20,m43
in19,m44
in15,m44
m44,m45
in27,m45
m45,m46
in17,m46
in23,m47
m37,m47
in24,m48
m30,m48
m44,m49
in20,m49
m48,m50
m31,m50
m31,m51
m45,m51
m48,m52
in23,m52
m49,m53
in29,m53
m49,m54
m49,m54
m47,m55
m30,m55
m38,m56
m55,m56
m55,m57
m47,m57
in29,m58
m47,m58
m40,m59
m52,m59
m45,m60
m49,m60
m57,m61
m36,m61
m61,m62
m34,m62
m46,m63
m53,m63
m44,m64
m42,m64
m36,m65
m40,m65
m62,m66
m58,m66
m65,m67
m58,m67
m41,m68
m55,m68
m48,m69
m44,m69
m51,m70
m66,m70
m52,m71
m58,m71
m57,m72
m64,m72
m59,m73
m59,m73
m58,m74
m67,m74
m47,m75
m58,m75
m63,m76
m62,m76
m55,m77
m66,m77
m65,m78
m58,m78
m74,m79
m60,m79
m57,m80
m73,m80
m55,m81
m74,m81
m77,m82
m81,m82
m62,m83
m66,m83
m55,m84
m64,m84
m57,m85
m77,m85
m61,m86
m68,m86
m70,m87
m79,m87
m74,m88
m62,m88
m75,m89
m87,m89
m82,m90
m63,m90
m68,m91
m75,m91
m79,m92
m66,m92
m73,m93
m78,m93
m91,m94
m72,m94
m72,m95
m94,m95
m71,m96
m89,m96
m80,m97
m79,m97
m95,m98
m92,m98
m85,m99
m88,m99
m95,m100
m96,m100
m98,m101
m82,m101
m85,m102
m82,m102
m92,m103
m82,m103
m94,m104
m100,m104
m80,m105
m79,m105
m95,m106
m81,m106
m102,m107
m87,m107
m106,m108
m92,m108
m98,m109
m90,m109
m99,m110
m96,m110
m93,m111
m82,m111
m93,m112
m100,m112
m84,m113
m108,m113
m106,m114
m108,m114
m92,m115
m107,m115
m89,m116
m106,m116
m95,m117
m99,m117
m96,m118
m116,m118
m108,m119
m103,m119
m92,m120
m95,m120
m119,m121
m98,m121
m93,m122
m106,m122
m101,m123
m121,m123
m114,m124
m107,m124
m102,m125
m113,m125
m122,m126
m125,m126
m110,m127
m113,m127
m99,m128
m111,m128
m113,m129
m124,m129
m110,m130
m119,m130
m109,m131
m106,m131
m103,m132
m108,m132
m129,m133
m127,m133
m130,m134
m120,m134
m114,m135
m113,m135
m127,m136
m128,m136
m123,m137
m115,m137
m110,m138
m109,m138
m135,m139
m134,m139
m136,m140
m123,m140
m121,m141
m128,m141
m116,m142
m139,m142
m125,m143
m140,m143
m130,m144
m125,m144
m128,m145
m116,m145
m120,m146
m121,m146
m122,m147
m143,m147
m125,m148
m119,m148
m135,m149
m125,m149
m131,m150
m148,m150
m129,m151
m134,m151
m149,m152
m125,m152
m124,m153
m144,m153
m133,m154
m151,m154
m133,m155
m134,m155
m143,m156
m143,m156
m150,m157
m136,m157
m146,m158
m151,m158
m151,m159
m135,m159
m138,m160
m143,m160
m150,m161
m151,m161
m136,m162
m153,m162
m143,m163
m159,m163
m137,m164
m144,m164
m141,m165
m139,m165
m159,m166
m148,m166
m166,m167
m147,m167
m139,m168
m165,m168
m142,m169
m147,m169
m146,m170
m145,m170
m154,m171
m154,m171
m153,m172
m152,m172
m169,m173
m168,m173
m158,m174
m150,m174
m168,m175
m161,m175
m166,m176
m147,m176
m165,m177
m161,m177
m158,m178
m152,m178
m158,m179
m171,m179
m166,m180
m169,m180
m163,m181
m158,m181
m170,m182
m161,m182
m177,m183
m173,m183
m183,m184
m156,m184
m184,m185
m163,m185
m165,m186
m182,m186
m162,m187
m169,m187
m165,m188
m185,m188
m165,m189
m177,m189
m166,m190
m178,m190
m172,m191
m180,m191
m185,m192
m170,m192
m173,m193
m176,m193
m189,m194
m190,m194
m174,m195
m189,m195
m190,m196
m195,m196
m194,m197
m189,m197
m182,m198
m188,m198
m181,m199
m170,m199
m191,m200
m185,m200
m179,m201
m191,m201
m192,m202
m197,m202
m174,m203
m181,m203
m201,m204
m200,m204
m204,m205
m182,m205
m33,o206
m35,o207
m39,o208
m43,o209
m50,o210
m54,o211
m56,o212
m69,o213
m76,o214
m83,o215
m86,o216
m97,o217
m104,o218
m105,o219
m112,o220
m117,o221
m118,o222
m126,o223
m132,o224
m155,o225
m157,o226
m160,o227
m164,o228
m167,o229
m175,o230
m186,o231
m187,o232
m193,o233
m196,o234
m198,o235
m199,o236
m202,o237
m203,o238
m205,o239
