source,target
in13,m31
in4,m31
in21,m32
in14,m32
in26,m33
in25,m33
in16,m34
in20,m34
in19,m35
in30,m35
in10,m36
in16,m36
in13,m37
in10,m37
in9,m38
m35,m38
m38,m39
m32,m39
m32,m40
in30,m40
in13,m41
in28,m41
in29,m42
m36,m42
in19,m43
in28,m43
m33,m44
in30,m44
m41,m45
in24,m45
in18,m46
m45,m46
in22,m47
m35,m47
m37,m48
m43,m48
in26,m49
in23,m49
m43,m50
m48,m50
m47,m51
in22,m51
in27,m52
m35,m52
m47,m53
m31,m53
m50,m54
m31,m54
m40,m55
m41,m55
in29,m56
m42,m56
in29,m57
m50,m57
m32,m58
m31,m58
m49,m59
m47,m59
m39,m60
m36,m60
m32,m61
m40,m61
m46,m62
m33,m62
m55,m63
m42,m63
m45,m64
m41,m64
m39,m65
m62,m65
m45,m66
m44,m66
m55,m67
m55,m67
m53,m68
m54,m68
m56,m69
m65,m69
m49,m70
m56,m70
m50,m71
m47,m71
m43,m72
m66,m72
m43,m73
m44,m73
m47,m74
m61,m74
m73,m75
m61,m75
m57,m76
m54,m76
m59,m77
m57,m77
m56,m78
m68,m78
m78,m79
m57,m79
m59,m80
m62,m80
m70,m81
m73,m81
m75,m82
m54,m82
m70,m83
m71,m83
m74,m84
m71,m84
m75,m85
m75,m85
m67,m86
m68,m86
m77,m87
m71,m87
m66,m88
m78,m88
m78,m89
m81,m89
m84,m90
m88,m90
m75,m91
m80,m91
m64,m92
m82,m92
m77,m93
m72,m93
m78,m94
m81,m94
m79,m95
m69,m95
m75,m96
m67,m96
m69,m97
m90,m97
m95,m98
m74,m98
m75,m99
m78,m99
m81,m100
m99,m100
m88,m101
m90,m101
m95,m102
m89,m102
m96,m103
m94,m103
m100,m104
m90,m104
m88,m105
m98,m105
m91,m106
m105,m106
m86,m107
m83,m107
m100,m108
m106,m108
m105,m109
m88,m109
m105,m110
m103,m110
m83,m111
m89,m111
m93,m112
m85,m112
m83,m113
m85,m113
m34,o114
m51,o115
m52,o116
m58,o117
m60,o118
m63,o119
m76,o120
m87,o121
m92,o122
m97,o123
m101,o124
m102,o125
m104,o126
m107,o127
m108,o128
m109,o129
m110,o130
m111,o131
m112,o132
m113,o133
