source,target
in19,m20
in19,m20
in8,m21
in14,m21
in4,m22
in13,m22
m22,m23
in12,m23
m21,m24
in10,m24
in17,m25
in12,m25
in19,m26
in12,m26
in19,m27
in13,m27
in15,m28
in9,m28
in13,m29
in18,m29
in19,m30
m24,m30
in15,m31
m25,m31
m23,m32
m28,m32
m26,m33
in16,m33
m33,m34
in19,m34
in17,m35
m30,m35
m32,m36
m35,m36
m36,m37
m28,m37
m34,m38
m22,m38
m30,m39
m20,m39
m29,m40
m37,m40
m37,m41
m31,m41
m35,m42
m30,m42
m33,m43
m36,m43
m35,m44
m34,m44
m40,m45
m32,m45
m35,m46
m33,m46
m41,m47
m31,m47
m37,m48
m37,m48
m42,m49
m37,m49
m42,m50
m44,m50
m38,m51
m38,m51
m33,m52
m34,m52
m44,m53
m39,m53
m42,m54
m40,m54
m41,m55
m41,m55
m38,m56
m53,m56
m47,m57
m48,m57
m46,m58
m46,m58
m49,m59
m40,m59
m42,m60
m50,m60
m49,m61
m46,m61
m60,m62
m48,m62
m57,m63
m55,m63
m50,m64
m60,m64
m50,m65
m52,m65
m62,m66
m61,m66
m59,m67
m55,m67
m58,m68
m60,m68
m57,m69
m68,m69
m54,m70
m63,m70
m64,m71
m55,m71
m61,m72
m63,m72
m58,m73
m59,m73
m73,m74
m71,m74
m72,m75
m57,m75
m66,m76
m69,m76
m67,m77
m73,m77
m71,m78
m72,m78
m78,m79
m60,m79
m69,m80
m66,m80
m80,m81
m71,m81
m69,m82
m73,m82
m79,m83
m69,m83
m82,m84
m67,m84
m78,m85
m76,m85
m84,m86
m74,m86
m81,m87
m82,m87
m79,m88
m86,m88
m73,m89
m79,m89
m89,m90
m73,m90
m80,m91
m79,m91
m84,m92
m75,m92
m82,m93
m78,m93
m89,m94
m76,m94
m79,m95
m92,m95
m82,m96
m87,m96
m92,m97
m93,m97
m85,m98
m86,m98
m81,m99
m89,m99
m97,m100
m94,m100
m91,m101
m92,m101
m92,m102
m99,m102
m100,m103
m85,m103
m87,m104
m89,m104
m101,m105
m87,m105
m100,m106
m100,m106
m27,o107
m43,o108
m45,o109
m51,o110
m56,o111
m65,o112
m70,o113
m77,o114
m83,o115
m88,o116
m90,o117
m95,o118
m96,o119
m98,o120
m102,o121
m103,o122
m104,o123
m105,o124
m106,o125
