source,target
in12,m23
in2,m23
in15,m24
m23,m24
m23,m25
in18,m25
m23,m26
in8,m26
m25,m27
in8,m27
in14,m28
in22,m28
in22,m29
m23,m29
in22,m30
in20,m30
in17,m31
in14,m31
in12,m32
in15,m32
in15,m33
m25,m33
m33,m34
m27,m34
in15,m35
m28,m35
m33,m36
m30,m36
m23,m37
in15,m37
in20,m38
m31,m38
m36,m39
m24,m39
m38,m40
m25,m40
m28,m41
m35,m41
m29,m42
m33,m42
m26,m43
m30,m43
m40,m44
m40,m44
m37,m45
m35,m45
m29,m46
m33,m46
m25,m47
m32,m47
m38,m48
m38,m48
m40,m49
m30,m49
m49,m50
m41,m50
m44,m51
m33,m51
m46,m52
m41,m52
m33,m53
m42,m53
m46,m54
m42,m54
m49,m55
m43,m55
m48,m56
m36,m56
m47,m57
m38,m57
m56,m58
m41,m58
m37,m59
m57,m59
m41,m60
m45,m60
m52,m61
m49,m61
m59,m62
m49,m62
m56,m63
m46,m63
m53,m64
m51,m64
m56,m65
m58,m65
m49,m66
m47,m66
m56,m67
m50,m67
m63,m68
m50,m68
m52,m69
m53,m69
m58,m70
m60,m70
m59,m71
m53,m71
m68,m72
m52,m72
m70,m73
m64,m73
m54,m74
m68,m74
m63,m75
m63,m75
m73,m76
m74,m76
m75,m77
m65,m77
m71,m78
m67,m78
m69,m79
m77,m79
m78,m80
m65,m80
m71,m81
m73,m81
m61,m82
m61,m82
m75,m83
m78,m83
m74,m84
m80,m84
m64,m85
m75,m85
m81,m86
m81,m86
m65,m87
m84,m87
m79,m88
m80,m88
m80,m89
m67,m89
m84,m90
m75,m90
m34,o91
m39,o92
m55,o93
m62,o94
m66,o95
m72,o96
m76,o97
m82,o98
m83,o99
m85,o100
m86,o101
m87,o102
m88,o103
m89,o104
m90,o105
