source,target
in12,m18
in5,m18
in14,m19
in12,m19
in12,m20
in4,m20
in15,m21
in14,m21
m18,m22
in15,m22
m18,m23
m19,m23
m19,m24
in13,m24
in15,m25
in13,m25
in17,m26
in11,m26
m22,m27
m19,m27
m24,m28
in15,m28
m28,m29
in14,m29
m21,m30
in14,m30
m20,m31
m30,m31
m29,m32
m26,m32
m24,m33
m18,m33
m21,m34
m24,m34
m31,m35
m30,m35
m24,m36
m22,m36
m22,m37
m23,m37
m33,m38
m34,m38
m33,m39
m25,m39
m39,m40
m33,m40
m28,m41
m33,m41
m37,m42
m28,m42
m30,m43
m31,m43
m38,m44
m36,m44
m37,m45
m34,m45
m36,m46
m33,m46
m39,m47
m30,m47
m44,m48
m41,m48
m42,m49
m43,m49
m33,m50
m42,m50
m41,m51
m47,m51
m42,m52
m48,m52
m41,m53
m44,m53
m41,m54
m44,m54
m51,m55
m44,m55
m39,m56
m40,m56
m52,m57
m48,m57
m45,m58
m43,m58
m46,m59
m51,m59
m59,m60
m57,m60
m58,m61
m47,m61
m58,m62
m61,m62
m49,m63
m53,m63
m48,m64
m53,m64
m62,m65
m54,m65
m50,m66
m63,m66
m57,m67
m65,m67
m64,m68
m56,m68
m53,m69
m66,m69
m69,m70
m63,m70
m54,m71
m69,m71
m63,m72
m64,m72
m67,m73
m72,m73
m63,m74
m59,m74
m64,m75
m58,m75
m60,m76
m61,m76
m73,m77
m60,m77
m67,m78
m62,m78
m75,m79
m66,m79
m72,m80
m66,m80
m66,m81
m76,m81
m65,m82
m73,m82
m69,m83
m74,m83
m69,m84
m73,m84
m76,m85
m74,m85
m71,m86
m74,m86
m86,m87
m85,m87
m74,m88
m78,m88
m74,m89
m82,m89
m76,m90
m74,m90
m86,m91
m80,m91
m89,m92
m84,m92
m89,m93
m78,m93
m79,m94
m83,m94
m91,m95
m79,m95
m86,m96
m79,m96
m87,m97
m91,m97
m88,m98
m93,m98
m88,m99
m88,m99
m84,m100
m90,m100
m86,m101
m100,m101
m100,m102
m91,m102
m98,m103
m95,m103
m89,m104
m96,m104
m100,m105
m93,m105
m91,m106
m90,m106
m91,m107
m101,m107
m95,m108
m104,m108
m107,m109
m100,m109
m109,m110
m100,m110
m99,m111
m108,m111
m110,m112
m102,m112
m96,m113
m106,m113
m107,m114
m108,m114
m103,m115
m98,m115
m108,m116
m106,m116
m104,m117
m116,m117
m108,m118
m115,m118
m116,m119
m106,m119
m107,m120
m108,m120
m117,m121
m119,m121
m115,m122
m108,m122
m111,m123
m122,m123
m118,m124
m118,m124
m121,m125
m109,m125
m109,m126
m115,m126
m119,m127
m125,m127
m120,m128
m121,m128
m114,m129
m123,m129
m124,m130
m121,m130
m120,m131
m121,m131
m115,m132
m129,m132
m119,m133
m130,m133
m122,m134
m132,m134
m132,m135
m132,m135
m119,m136
m125,m136
m128,m137
m124,m137
m133,m138
m136,m138
m131,m139
m137,m139
m136,m140
m136,m140
m139,m141
m133,m141
m134,m142
m131,m142
m137,m143
m126,m143
m137,m144
m131,m144
m134,m145
m136,m145
m142,m146
m133,m146
m140,m147
m134,m147
m136,m148
m144,m148
m148,m149
m141,m149
m139,m150
m147,m150
m146,m151
m141,m151
m142,m152
m145,m152
m152,m153
m140,m153
m149,m154
m141,m154
m147,m155
m153,m155
m143,m156
m155,m156
m143,m157
m147,m157
m154,m158
m142,m158
m152,m159
m158,m159
m149,m160
m153,m160
m153,m161
m160,m161
m151,m162
m155,m162
m152,m163
m151,m163
m160,m164
m157,m164
m157,m165
m148,m165
m159,m166
m151,m166
m162,m167
m154,m167
m155,m168
m166,m168
m163,m169
m167,m169
m162,m170
m155,m170
m155,m171
m170,m171
m163,m172
m165,m172
m159,m173
m165,m173
m165,m174
m165,m174
m158,m175
m167,m175
m170,m176
m170,m176
m160,m177
m176,m177
m166,m178
m168,m178
m163,m179
m175,m179
m172,m180
m166,m180
m174,m181
m179,m181
m168,m182
m177,m182
m173,m183
m173,m183
m174,m184
m169,m184
m27,o185
m32,o186
m35,o187
m55,o188
m68,o189
m70,o190
m77,o191
m81,o192
m92,o193
m94,o194
m97,o195
m105,o196
m112,o197
m113,o198
m127,o199
m135,o200
m138,o201
m150,o202
m156,o203
m161,o204
m164,o205
m171,o206
m178,o207
m180,o208
m181,o209
m182,o210
m183,o211
m184,o212
