source,target
in14,m26
in18,m26
in25,m27
in2,m27
in4,m28
in7,m28
in24,m29
in24,m29
in9,m30
in14,m30
in23,m31
in17,m31
m30,m32
m27,m32
in21,m33
in25,m33
in22,m34
m33,m34
m29,m35
in23,m35
in24,m36
m32,m36
m36,m37
m31,m37
in24,m38
in23,m38
m30,m39
in16,m39
in22,m40
m32,m40
in18,m41
in21,m41
in18,m42
m40,m42
m26,m43
m35,m43
m34,m44
m30,m44
in22,m45
m31,m45
m32,m46
m32,m46
in24,m47
m29,m47
m34,m48
m45,m48
m35,m49
m42,m49
in25,m50
m42,m50
m47,m51
m43,m51
m40,m52
m49,m52
m52,m53
m52,m53
m30,m54
m33,m54
m33,m55
m42,m55
m54,m56
m54,m56
m51,m57
m38,m57
m54,m58
m44,m58
m58,m59
m40,m59
m51,m60
m44,m60
m37,m61
m50,m61
m55,m62
m44,m62
m56,m63
m61,m63
m56,m64
m51,m64
m64,m65
m64,m65
m47,m66
m52,m66
m44,m67
m53,m67
m54,m68
m65,m68
m58,m69
m44,m69
m56,m70
m65,m70
m51,m71
m52,m71
m63,m72
m47,m72
m66,m73
m62,m73
m61,m74
m52,m74
m70,m75
m69,m75
m61,m76
m70,m76
m55,m77
m73,m77
m58,m78
m66,m78
m67,m79
m72,m79
m55,m80
m77,m80
m72,m81
m61,m81
m61,m82
m60,m82
m81,m83
m78,m83
m62,m84
m64,m84
m83,m85
m71,m85
m77,m86
m67,m86
m67,m87
m80,m87
m87,m88
m75,m88
m77,m89
m65,m89
m71,m90
m65,m90
m74,m91
m67,m91
m80,m92
m70,m92
m73,m93
m73,m93
m85,m94
m90,m94
m83,m95
m88,m95
m79,m96
m71,m96
m72,m97
m96,m97
m88,m98
m87,m98
m89,m99
m74,m99
m86,m100
m90,m100
m83,m101
m85,m101
m87,m102
m101,m102
m101,m103
m94,m103
m95,m104
m85,m104
m99,m105
m100,m105
m89,m106
m91,m106
m99,m107
m89,m107
m83,m108
m100,m108
m98,m109
m90,m109
m104,m110
m105,m110
m90,m111
m94,m111
m90,m112
m104,m112
m89,m113
m100,m113
m99,m114
m90,m114
m98,m115
m93,m115
m109,m116
m109,m116
m106,m117
m98,m117
m97,m118
m114,m118
m110,m119
m117,m119
m115,m120
m117,m120
m103,m121
m99,m121
m108,m122
m101,m122
m117,m123
m117,m123
m105,m124
m118,m124
m112,m125
m118,m125
m101,m126
m118,m126
m113,m127
m103,m127
m127,m128
m124,m128
m104,m129
m114,m129
m116,m130
m120,m130
m110,m131
m111,m131
m125,m132
m107,m132
m109,m133
m132,m133
m111,m134
m109,m134
m116,m135
m131,m135
m133,m136
m116,m136
m114,m137
m127,m137
m123,m138
m133,m138
m136,m139
m132,m139
m130,m140
m124,m140
m129,m141
m137,m141
m140,m142
m138,m142
m119,m143
m132,m143
m119,m144
m135,m144
m125,m145
m130,m145
m140,m146
m130,m146
m138,m147
m139,m147
m127,m148
m143,m148
m135,m149
m126,m149
m130,m150
m147,m150
m146,m151
m127,m151
m127,m152
m142,m152
m146,m153
m150,m153
m132,m154
m146,m154
m147,m155
m132,m155
m142,m156
m148,m156
m148,m157
m148,m157
m134,m158
m145,m158
m152,m159
m150,m159
m145,m160
m157,m160
m146,m161
m154,m161
m143,m162
m155,m162
m139,m163
m161,m163
m155,m164
m160,m164
m142,m165
m148,m165
m149,m166
m147,m166
m163,m167
m158,m167
m156,m168
m157,m168
m160,m169
m165,m169
m163,m170
m150,m170
m147,m171
m162,m171
m160,m172
m157,m172
m167,m173
m166,m173
m149,m174
m155,m174
m171,m175
m156,m175
m168,m176
m167,m176
m155,m177
m155,m177
m162,m178
m172,m178
m156,m179
m167,m179
m178,m180
m155,m180
m172,m181
m169,m181
m177,m182
m165,m182
m162,m183
m181,m183
m171,m184
m176,m184
m184,m185
m162,m185
m167,m186
m177,m186
m168,m187
m174,m187
m175,m188
m170,m188
m181,m189
m174,m189
m185,m190
m179,m190
m174,m191
m174,m191
m186,m192
m188,m192
m191,m193
m187,m193
m178,m194
m178,m194
m177,m195
m187,m195
m174,m196
m188,m196
m184,m197
m189,m197
m196,m198
m193,m198
m183,m199
m175,m199
m183,m200
m196,m200
m185,m201
m200,m201
m195,m202
m184,m202
m192,m203
m198,m203
m190,m204
m201,m204
m193,m205
m190,m205
m181,m206
m186,m206
m184,m207
m203,m207
m186,m208
m197,m208
m201,m209
m192,m209
m190,m210
m196,m210
m203,m211
m202,m211
m204,m212
m196,m212
m202,m213
m195,m213
m193,m214
m202,m214
m28,o215
m39,o216
m41,o217
m46,o218
m48,o219
m57,o220
m59,o221
m68,o222
m76,o223
m82,o224
m84,o225
m92,o226
m102,o227
m121,o228
m122,o229
m128,o230
m141,o231
m144,o232
m151,o233
m153,o234
m159,o235
m164,o236
m173,o237
m180,o238
m182,o239
m194,o240
m199,o241
m205,o242
m206,o243
m207,o244
m208,o245
m209,o246
m210,o247
m211,o248
m212,o249
m213,o250
m214,o251
