id,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10
in329,1,0,0,0,1,1,1,1,1,0,0
in344,1,0,0,0,1,1,1,1,1,0,0
in365,1,0,0,0,1,1,1,1,1,0,0
in393,1,0,0,0,1,1,1,1,1,0,0
in427,1,0,0,0,1,1,1,1,1,0,0
in467,1,0,0,0,1,1,1,1,1,0,0
in513,1,0,0,0,1,1,1,1,1,0,0
m326,0,0,1,0,1,1,1,1,1,1,0
m327,0,1,0,0,1,1,1,1,1,0,0
m331,0,1,0,0,1,1,1,1,1,0,0
m333,0,1,0,0,1,1,1,1,1,0,0
m334,0,0,1,0,1,1,1,1,1,1,10
m336,0,0,1,0,1,1,1,1,1,1,10
m337,0,1,0,0,1,1,1,1,1,0,0
m340,0,0,1,0,1,1,1,1,1,1,10
m341,0,0,1,0,1,1,1,1,1,1,10
m342,0,1,0,0,1,1,1,1,1,0,0
m346,0,0,1,0,1,1,1,1,1,1,10
m347,0,1,0,0,1,1,1,1,1,0,0
m349,0,1,0,0,1,1,1,1,1,0,0
m351,0,1,0,0,1,1,1,1,1,0,0
m352,0,0,1,0,1,1,1,1,1,1,10
m354,0,0,1,0,1,1,1,1,1,1,10
m355,0,1,0,0,1,1,1,1,1,0,0
m357,0,0,1,0,1,1,1,1,1,1,0
m358,0,1,0,0,1,1,1,1,1,0,0
m361,0,0,1,0,1,1,1,1,1,1,0
m362,0,0,1,0,1,1,1,1,1,1,0
m363,0,1,0,0,1,1,1,1,1,0,0
m367,0,0,1,0,1,1,1,1,1,1,10
m368,0,1,0,0,1,1,1,1,1,0,0
m370,0,0,1,0,1,1,1,1,1,1,10
m371,0,1,0,0,1,1,1,1,1,0,0
m373,0,0,1,0,1,1,1,1,1,1,10
m374,0,1,0,0,1,1,1,1,1,0,0
m376,0,1,0,0,1,1,1,1,1,0,0
m377,0,0,1,0,1,1,1,1,1,1,10
m379,0,0,1,0,1,1,1,1,1,1,10
m380,0,1,0,0,1,1,1,1,1,0,0
m382,0,0,1,0,1,1,1,1,1,1,0
m383,0,1,0,0,1,1,1,1,1,0,0
m385,0,0,1,0,1,1,1,1,1,1,10
m386,0,1,0,0,1,1,1,1,1,0,0
m389,0,0,1,0,1,1,1,1,1,1,10
m390,0,0,1,0,1,1,1,1,1,1,10
m391,0,1,0,0,1,1,1,1,1,0,0
m395,0,0,1,0,1,1,1,1,1,1,0
m396,0,1,0,0,1,1,1,1,1,0,0
m398,0,0,1,0,1,1,1,1,1,1,0
m399,0,1,0,0,1,1,1,1,1,0,0
m401,0,0,1,0,1,1,1,1,1,1,0
m402,0,1,0,0,1,1,1,1,1,0,0
m404,0,0,1,0,1,1,1,1,1,1,10
m405,0,1,0,0,1,1,1,1,1,0,0
m407,0,1,0,0,1,1,1,1,1,0,0
m408,0,0,1,0,1,1,1,1,1,1,10
m410,0,0,1,0,1,1,1,1,1,1,10
m411,0,1,0,0,1,1,1,1,1,0,0
m413,0,0,1,0,1,1,1,1,1,1,10
m414,0,1,0,0,1,1,1,1,1,0,0
m416,0,0,1,0,1,1,1,1,1,1,10
m417,0,1,0,0,1,1,1,1,1,0,0
m419,0,0,1,0,1,1,1,1,1,1,0
m420,0,1,0,0,1,1,1,1,1,0,0
m423,0,0,1,0,1,1,1,1,1,1,10
m424,0,0,1,0,1,1,1,1,1,1,10
m425,0,1,0,0,1,1,1,1,1,0,0
m429,0,0,1,0,1,1,1,1,1,1,10
m430,0,1,0,0,1,1,1,1,1,0,0
m432,0,0,1,0,1,1,1,1,1,1,0
m433,0,1,0,0,1,1,1,1,1,0,0
m435,0,0,1,0,1,1,1,1,1,1,10
