id,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10
in1,1,0,0,0,0,0,0,1,1,0,0
in2,1,0,0,0,0,1,0,1,0,0,0
in3,1,0,0,0,0,1,0,1,0,0,0
in4,1,0,0,0,0,1,1,0,1,0,0
in5,1,0,0,0,0,1,1,1,1,0,0
in6,1,0,0,0,0,0,1,1,1,0,0
in7,1,0,0,0,0,1,0,1,1,0,0
in8,1,0,0,0,0,1,1,1,1,0,0
in9,1,0,0,0,0,0,0,1,1,0,0
in10,1,0,0,0,0,0,1,0,1,0,0
in11,1,0,0,0,0,0,0,1,1,0,0
in12,1,0,0,0,0,0,1,0,0,0,0
in13,1,0,0,0,0,1,1,0,1,0,0
in14,1,0,0,0,0,1,1,0,1,0,0
in15,1,0,0,0,0,0,1,1,0,0,0
in16,1,0,0,0,0,1,1,0,0,0,0
in17,1,0,0,0,0,0,0,1,1,0,0
in18,1,0,0,0,0,1,0,1,1,0,0
in19,1,0,0,0,0,0,0,1,0,0,0
in20,1,0,0,0,0,0,1,1,1,0,0
in21,1,0,0,0,0,1,1,0,1,0,0
in22,1,0,0,0,0,1,0,1,1,0,0
in23,1,0,0,0,0,1,0,0,0,0,0
m24,0,0,1,0,0,1,1,1,1,1,10
m25,0,0,1,0,0,1,1,0,1,1,10
m26,0,1,0,0,0,1,0,0,0,0,0
m27,0,0,1,0,0,1,0,1,0,1,0
m28,0,0,1,0,0,1,0,1,1,1,10
m29,0,1,0,0,0,1,1,1,0,0,0
m30,0,0,1,0,0,0,1,0,1,1,0
m31,0,0,1,0,0,0,1,0,1,1,0
m32,0,0,1,0,0,0,1,0,1,1,10
m33,0,1,0,0,0,1,1,0,0,0,0
m34,0,1,0,0,0,0,1,1,0,0,0
m35,0,0,1,0,0,1,0,1,0,1,0
m36,0,1,0,0,0,1,1,0,1,0,0
m37,0,0,1,0,0,1,1,0,0,1,0
m38,0,0,1,0,0,1,0,0,1,1,10
m39,0,1,0,0,0,1,1,0,0,0,0
m40,0,0,1,0,0,0,1,1,1,1,0
m41,0,0,1,0,0,1,0,0,0,1,0
m42,0,0,1,0,0,1,0,0,0,1,10
m43,0,0,1,0,0,1,1,1,0,1,10
m44,0,1,0,0,0,1,1,0,0,0,0
m45,0,0,1,0,0,1,0,1,0,1,0
m46,0,0,1,0,0,1,1,0,0,1,0
m47,0,0,1,0,0,1,1,0,1,1,10
m48,0,0,1,0,0,1,1,1,0,1,10
m49,0,0,1,0,0,1,1,0,1,1,0
m50,0,0,1,0,0,0,1,1,1,1,0
m51,0,0,1,0,0,0,1,1,1,1,10
m52,0,0,1,0,0,1,0,1,0,1,10
m53,0,1,0,0,0,0,1,0,1,0,0
m54,0,0,1,0,0,1,1,0,1,1,10
m55,0,0,1,0,0,1,1,0,1,1,0
m56,0,1,0,0,0,1,0,1,0,0,0
m57,0,0,1,0,0,0,1,0,0,1,10
m58,0,1,0,0,0,1,1,1,0,0,0
m59,0,1,0,0,0,1,1,0,1,0,0
m60,0,0,1,0,0,1,1,0,0,1,0
m61,0,0,1,0,0,1,0,0,1,1,10
m62,0,0,1,0,0,1,1,0,0,1,10
m63,0,0,1,0,0,1,1,1,1,1,0
m64,0,0,1,0,0,1,0,1,0,1,10
m65,0,1,0,0,0,1,0,0,1,0,0
m66,0,1,0,0,0,1,0,0,0,0,0
m67,0,1,0,0,0,1,1,0,1,0,0
m68,0,0,1,0,0,0,1,1,1,1,0
m69,0,0,1,0,0,1,0,1,1,1,0
m70,0,0,1,0,0,1,0,0,1,1,0
m71,0,0,1,0,0,1,1,1,1,1,10
m72,0,1,0,0,0,0,0,1,1,0,0
m73,0,0,1,0,0,1,1,1,0,1,0
m74,0,1,0,0,0,0,1,1,1,0,0
m75,0,0,1,0,0,1,1,1,0,1,0
m76,0,0,1,0,0,1,0,1,0,1,0
