source,target
in12,m13
in3,m13
in5,m14
in4,m14
m14,m15
in11,m15
in11,m16
in12,m16
m15,m17
in11,m17
in8,m18
m16,m18
in9,m19
m17,m19
m18,m20
m14,m20
m18,m21
m14,m21
m19,m22
m15,m22
m19,m23
m21,m23
in12,m24
m17,m24
m17,m25
m23,m25
m20,m26
m20,m26
m17,m27
m18,m27
m25,m28
m27,m28
m28,m29
m25,m29
m24,m30
m25,m30
m29,m31
m21,m31
m27,m32
m30,m32
m31,m33
m21,m33
m31,m34
m31,m34
m26,m35
m32,m35
m26,m36
m32,m36
m29,m37
m30,m37
m27,m38
m33,m38
m33,m39
m33,m39
m28,m40
m38,m40
m36,m41
m35,m41
m33,m42
m33,m42
m38,m43
m39,m43
m39,m44
m36,m44
m33,m45
m35,m45
m34,m46
m39,m46
m38,m47
m35,m47
m45,m48
m46,m48
m40,m49
m37,m49
m48,m50
m39,m50
m39,m51
m50,m51
m48,m52
m43,m52
m42,m53
m43,m53
m44,m54
m44,m54
m48,m55
m52,m55
m49,m56
m46,m56
m45,m57
m45,m57
m48,m58
m57,m58
m56,m59
m54,m59
m59,m60
m52,m60
m49,m61
m50,m61
m57,m62
m57,m62
m60,m63
m52,m63
m62,m64
m62,m64
m61,m65
m58,m65
m65,m66
m63,m66
m65,m67
m62,m67
m13,o68
m22,o69
m41,o70
m47,o71
m51,o72
m53,o73
m55,o74
m64,o75
m66,o76
m67,o77
