source,target
in8,m17
in3,m17
in7,m18
in12,m18
in6,m19
in6,m19
in8,m20
in5,m20
in7,m21
m20,m21
in9,m22
in11,m22
in12,m23
in12,m23
in16,m24
m20,m24
in9,m25
in14,m25
m21,m26
m25,m26
in12,m27
in14,m27
in12,m28
m24,m28
m25,m29
m27,m29
m29,m30
m21,m30
m28,m31
m20,m31
m30,m32
m19,m32
m21,m33
m26,m33
m32,m34
m24,m34
m30,m35
m25,m35
m25,m36
m24,m36
m30,m37
m28,m37
m32,m38
m34,m38
m38,m39
m29,m39
m28,m40
m37,m40
m29,m41
m39,m41
m35,m42
m27,m42
m37,m43
m38,m43
m37,m44
m36,m44
m40,m45
m30,m45
m32,m46
m38,m46
m39,m47
m40,m47
m41,m48
m39,m48
m34,m49
m47,m49
m37,m50
m47,m50
m35,m51
m49,m51
m39,m52
m46,m52
m48,m53
m47,m53
m48,m54
m50,m54
m45,m55
m42,m55
m47,m56
m52,m56
m46,m57
m42,m57
m46,m58
m46,m58
m52,m59
m52,m59
m58,m60
m53,m60
m55,m61
m47,m61
m58,m62
m59,m62
m54,m63
m60,m63
m59,m64
m50,m64
m49,m65
m62,m65
m50,m66
m65,m66
m55,m67
m56,m67
m55,m68
m60,m68
m53,m69
m59,m69
m67,m70
m60,m70
m70,m71
m60,m71
m70,m72
m62,m72
m66,m73
m66,m73
m63,m74
m69,m74
m74,m75
m63,m75
m69,m76
m61,m76
m73,m77
m64,m77
m71,m78
m64,m78
m67,m79
m67,m79
m77,m80
m73,m80
m71,m81
m75,m81
m79,m82
m79,m82
m82,m83
m80,m83
m68,m84
m79,m84
m76,m85
m70,m85
m75,m86
m78,m86
m71,m87
m72,m87
m77,m88
m74,m88
m85,m89
m77,m89
m76,m90
m88,m90
m83,m91
m86,m91
m81,m92
m86,m92
m85,m93
m82,m93
m83,m94
m91,m94
m86,m95
m84,m95
m82,m96
m93,m96
m86,m97
m84,m97
m94,m98
m85,m98
m95,m99
m84,m99
m99,m100
m85,m100
m93,m101
m98,m101
m88,m102
m87,m102
m91,m103
m97,m103
m17,o104
m18,o105
m22,o106
m23,o107
m31,o108
m33,o109
m43,o110
m44,o111
m51,o112
m57,o113
m89,o114
m90,o115
m92,o116
m96,o117
m100,o118
m101,o119
m102,o120
m103,o121
