id,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10
in1,1,0,0,0,0,1,1,0,1,0,0
in2,1,0,0,0,0,0,1,1,1,0,0
in3,1,0,0,0,0,1,1,1,0,0,0
in4,1,0,0,0,0,1,0,1,1,0,0
in5,1,0,0,0,0,0,0,1,0,0,0
in6,1,0,0,0,0,0,1,1,1,0,0
in7,1,0,0,0,0,0,1,1,0,0,0
in8,1,0,0,0,0,0,1,0,0,0,0
in9,1,0,0,0,0,0,1,1,0,0,0
in10,1,0,0,0,0,1,1,1,0,0,0
in11,1,0,0,0,0,1,0,0,0,0,0
in12,1,0,0,0,0,0,1,0,1,0,0
m13,0,0,1,0,0,0,1,1,1,1,10
m14,0,0,1,0,0,0,1,0,1,1,10
m15,0,0,1,0,0,0,1,1,1,1,10
m16,0,0,1,0,0,1,0,0,0,1,10
m17,0,0,1,0,0,1,0,1,1,1,10
m18,0,0,1,0,0,1,1,0,1,1,10
m19,0,1,0,0,0,1,0,1,0,0,0
m20,0,0,1,0,0,1,0,1,0,1,10
m21,0,0,1,0,0,1,1,0,0,1,10
m22,0,0,1,0,0,0,1,1,1,1,10
m23,0,0,1,0,0,1,0,1,0,1,10
m24,0,0,1,0,0,1,0,1,1,1,0
m25,0,0,1,0,0,0,0,1,0,1,10
m26,0,0,1,0,0,1,0,1,1,1,10
m27,0,0,1,0,0,0,1,1,1,1,10
m28,0,1,0,0,0,1,1,0,1,0,0
m29,0,1,0,0,0,1,0,1,0,0,0
m30,0,0,1,0,0,0,1,1,1,1,10
m31,0,0,1,0,0,0,1,1,0,1,10
m32,0,0,1,0,0,1,0,0,0,1,10
m33,0,1,0,0,0,1,0,0,0,0,0
m34,0,0,1,0,0,0,1,0,1,1,10
m35,0,0,1,0,0,1,0,0,0,1,10
m36,0,1,0,0,0,1,0,0,0,0,0
m37,0,0,1,0,0,0,1,0,1,1,10
m38,0,0,1,0,0,1,0,0,0,1,10
m39,0,0,1,0,0,1,0,1,1,1,10
m40,0,0,1,0,0,1,0,0,1,1,10
m41,0,0,1,0,0,0,1,1,1,1,10
m42,0,0,1,0,0,0,0,1,1,1,0
m43,0,0,1,0,0,0,1,1,0,1,10
m44,0,0,1,0,0,1,0,0,0,1,10
m45,0,0,1,0,0,1,1,0,1,1,10
m46,0,0,1,0,0,0,1,0,0,1,10
m47,0,0,1,0,0,1,0,1,1,1,0
m48,0,0,1,0,0,1,0,1,0,1,10
m49,0,0,1,0,0,0,1,0,1,1,10
m50,0,0,1,0,0,0,1,0,1,1,10
m51,0,0,1,0,0,0,0,1,0,1,10
m52,0,0,1,0,0,1,0,1,0,1,10
m53,0,0,1,0,0,1,1,0,0,1,10
m54,0,1,0,0,0,1,0,0,1,0,0
m55,0,0,1,0,0,1,0,0,1,1,10
