id,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10
in1,1,0,0,0,0,0,0,1,1,0,0
in2,1,0,0,0,0,1,1,1,1,0,0
in3,1,0,0,0,0,1,0,1,1,0,0
in4,1,0,0,0,0,0,1,1,0,0,0
in5,1,0,0,0,0,0,1,0,1,0,0
in6,1,0,0,0,0,0,1,0,0,0,0
in7,1,0,0,0,0,1,1,0,1,0,0
in8,1,0,0,0,0,1,1,1,1,0,0
in9,1,0,0,0,0,1,0,0,0,0,0
in10,1,0,0,0,0,0,0,0,1,0,0
in11,1,0,0,0,0,1,0,1,0,0,0
in12,1,0,0,0,0,1,1,0,0,0,0
in13,1,0,0,0,0,1,1,1,1,0,0
in14,1,0,0,0,0,0,0,1,1,0,0
in15,1,0,0,0,0,1,0,1,0,0,0
in16,1,0,0,0,0,1,0,1,0,0,0
in17,1,0,0,0,0,0,1,0,0,0,0
in18,1,0,0,0,0,0,1,0,1,0,0
m19,0,0,1,0,0,1,1,1,0,1,10
m20,0,0,1,0,0,1,0,1,1,1,10
m21,0,0,1,0,0,1,1,1,0,1,10
m22,0,0,1,0,0,1,0,0,1,1,0
m23,0,0,1,0,0,1,1,0,0,1,0
m24,0,0,1,0,0,0,1,1,0,1,10
m25,0,0,1,0,0,1,0,0,0,1,0
m26,0,0,1,0,0,1,0,1,0,1,10
m27,0,0,1,0,0,0,1,1,1,1,10
m28,0,0,1,0,0,0,1,1,0,1,10
m29,0,0,1,0,0,1,0,0,1,1,0
m30,0,0,1,0,0,1,0,0,1,1,10
m31,0,0,1,0,0,0,1,1,1,1,10
m32,0,0,1,0,0,1,1,1,1,1,10
m33,0,0,1,0,0,0,1,1,1,1,10
m34,0,1,0,0,0,1,1,1,1,0,0
m35,0,0,1,0,0,0,0,1,1,1,0
m36,0,0,1,0,0,0,1,1,1,1,10
m37,0,0,1,0,0,0,1,1,0,1,0
m38,0,0,1,0,0,0,1,1,1,1,0
m39,0,0,1,0,0,1,0,0,1,1,10
m40,0,0,1,0,0,0,1,0,1,1,10
m41,0,0,1,0,0,0,0,1,1,1,10
m42,0,0,1,0,0,1,0,0,0,1,0
m43,0,0,1,0,0,0,0,1,1,1,10
m44,0,1,0,0,0,1,1,1,0,0,0
m45,0,0,1,0,0,0,1,0,1,1,10
m46,0,1,0,0,0,1,0,1,0,0,0
m47,0,0,1,0,0,1,0,1,0,1,0
m48,0,0,1,0,0,1,0,0,0,1,0
m49,0,0,1,0,0,1,0,0,1,1,10
m50,0,1,0,0,0,0,1,1,1,0,0
m51,0,1,0,0,0,0,1,0,0,0,0
m52,0,0,1,0,0,0,1,1,0,1,10
m53,0,0,1,0,0,0,0,1,0,1,10
m54,0,0,1,0,0,1,1,0,1,1,10
m55,0,0,1,0,0,0,0,1,1,1,10
m56,0,0,1,0,0,0,0,1,0,1,10
m57,0,0,1,0,0,1,0,0,0,1,10
m58,0,0,1,0,0,1,0,1,0,1,10
m59,0,0,1,0,0,0,1,0,0,1,10
o60,0,0,0,1,0,0,0,0,0,0,0
o61,0,0,0,1,0,0,0,0,0,0,0
o62,0,0,0,1,0,0,0,0,0,0,0
o63,0,0,0,1,0,0,0,0,0,0,0
o64,0,0,0,1,0,0,0,0,0,0,0
o65,0,0,0,1,0,0,0,0,0,0,0
o66,0,0,0,1,0,0,0,0,0,0,0
o67,0,0,0,1,0,0,0,0,0,0,0
o68,0,0,0,1,0,0,0,0,0,0,0
o69,0,0,0,1,0,0,0,0,0,0,0
